City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ambulu,24,ID,1579758150,75,-8.35,113.61,301.48,3.75
ushuaia,40,AR,1579758150,87,-54.8,-68.3,281.15,2.6
east london,20,IS,1579758150,66,65.0,-15.0,273.15,9.3
cidreira,93,BR,1579758150,76,-30.18,-50.21,295.54,4.77
mataura,35,NZ,1579758151,78,-46.19,168.86,289.82,5.36
atuona,42,PF,1579758151,74,-9.8,-139.03,300.27,5.55
rikitea,6,PF,1579758151,76,-23.12,-134.97,299.6,6.03
longyearbyen,42,SJ,1579758151,60,78.22,15.64,259.15,11.3
qui nhon,75,BR,1579758152,83,-10.97,-37.6,298.15,1.5
west odessa,90,US,1579758152,100,31.8,-97.09,282.59,3.93
tiksi,40,RU,1579758153,86,71.69,128.87,239.68,1.79
chiredzi,34,ZW,1579758154,54,-21.05,31.67,298.26,1.04
georgetown,20,MY,1579758154,62,5.41,100.34,305.15,3.1
san patricio,100,ML,1579758154,22,13.3,-4.9,297.77,3.93
butaritari,72,KI,1579758154,64,3.07,172.79,302.62,1.91
busselton,56,AU,1579758154,24,-33.65,115.33,302.04,4.78
alofi,57,NU,1579758155,65,-19.06,-169.92,301.15,5.7
yar-sale,100,RU,1579758155,93,66.83,70.83,259.69,6.57
phan rang,2,TH,1579758155,50,19.55,99.74,299.15,1.5
gualaquiza,96,EC,1579758156,98,-3.4,-78.55,289.49,0.35
teahupoo,20,PF,1579758156,74,-17.83,-149.27,302.15,5.1
lebu,34,CL,1579758156,99,-37.62,-73.65,283.34,0.99
yellowknife,90,CA,1579758157,84,62.46,-114.35,258.71,4.1
sao filipe,70,IN,1579758157,39,20.51,76.21,299.26,1.66
bredasdorp,64,ZA,1579758157,93,-34.53,20.04,289.15,1.0
bonthe,98,SL,1579758157,84,7.53,-12.51,298.72,2.35
warmbad,0,NA,1579758157,54,-28.45,18.73,290.8,3.22
samarai,66,PG,1579758158,80,-10.62,150.67,301.41,1.77
ponta do sol,4,PT,1579758158,80,38.73,-28.27,284.69,4.38
san francisco menendez,100,ML,1579758158,22,13.3,-4.9,297.77,3.93
pinega,64,RU,1579758158,94,64.7,43.39,265.21,3.29
hope,90,US,1579757944,100,33.67,-93.59,275.93,2.1
cape town,21,CL,1579758159,93,-36.41,-71.9,288.15,2.1
bluff,42,NZ,1579758159,78,-46.6,168.33,289.82,5.36
dikson,100,RU,1579758160,96,73.51,80.55,248.32,7.23
jamestown,1,US,1579758160,62,42.1,-79.24,273.15,3.1
vila franca do campo,61,PT,1579758160,66,42.03,-8.16,283.71,3.6
mitsamiouli,75,KM,1579758161,94,-11.38,43.28,298.15,4.6
tiarei,20,PF,1579758161,74,-17.53,-149.33,302.15,5.1
kirkuk,77,IQ,1579758162,86,35.47,44.39,279.13,4.55
tuktoyaktuk,90,CA,1579758162,75,69.45,-133.04,248.15,4.1
airai,94,TL,1579758162,73,-8.93,125.41,299.27,1.07
vao,0,NC,1579758162,73,-22.67,167.48,298.33,7.46
punta arenas,55,PH,1579758163,65,8.99,125.34,302.39,2.38
kochubey,100,RU,1579758163,67,44.39,46.58,278.23,3.81
qaanaaq,55,GL,1579758163,54,77.48,-69.36,251.51,1.73
townsville,75,AU,1579758124,74,-19.25,146.8,303.15,6.7
smithers,90,CA,1579758164,100,54.78,-127.17,272.15,2.1
norman wells,90,US,1579758002,100,35.22,-97.44,277.59,3.1
wajima,75,JP,1579758164,93,37.4,136.9,282.15,1.5
victoria,40,HK,1579758125,73,22.29,114.16,299.82,3.6
kavieng,0,PG,1579758166,78,-2.57,150.8,301.63,5.72
kyren,46,RU,1579758166,70,51.68,102.14,257.69,2.2
karasjok,75,NO,1579758166,92,69.47,25.51,263.15,2.6
tigre,0,AR,1579758167,83,-34.43,-58.58,298.71,4.1
kaitangata,19,NZ,1579758167,90,-46.28,169.85,286.64,2.17
hermanus,24,ZA,1579758167,53,-34.42,19.23,295.37,4.92
albany,40,US,1579758002,67,42.6,-73.97,268.15,0.79
bethel,1,US,1579758168,78,41.37,-73.41,270.93,0.7
hobart,40,AU,1579758005,46,-42.88,147.33,294.15,6.7
nouakchott,100,MR,1579758169,59,18.09,-15.98,289.15,3.6
kandri,0,IN,1579758169,73,21.42,79.27,295.15,2.6
avarua,100,CK,1579758169,83,-21.21,-159.78,300.15,2.6
pallapatti,40,IN,1579758169,69,11.66,78.13,301.15,2.6
mahebourg,75,MU,1579758169,94,-20.41,57.7,301.48,1.5
barrow,40,US,1579758170,76,71.29,-156.79,250.15,4.1
sao raimundo nonato,70,IN,1579758170,39,20.51,76.21,299.26,1.66
mys shmidta,97,RU,1579758170,91,62.06,48.62,264.86,3.96
vaitape,40,PF,1579758171,75,-16.52,-151.75,301.15,4.84
balugaon,86,IN,1579758172,41,20.17,85.1,302.0,1.61
smidovich,100,RU,1579758172,93,48.6,133.82,256.45,1.47
sorland,90,NO,1579758172,96,67.67,12.69,274.15,6.7
mareeba,95,AU,1579758172,74,-17.0,145.43,304.15,3.6
laguna,1,US,1579758075,87,38.42,-121.42,283.15,2.6
hilo,1,US,1579758173,68,19.73,-155.09,295.15,1.5
tarko-sale,100,RU,1579758173,87,64.92,77.78,260.37,8.52
lompoc,20,US,1579758174,100,34.64,-120.46,286.48,2.6
marfino,40,RU,1579758174,68,55.7,37.38,270.37,6.0
dunedin,33,NZ,1579758174,73,-45.87,170.5,290.37,3.58
victor harbor,1,US,1579758174,79,42.98,-77.41,271.48,2.58
yelovo,100,RU,1579758174,96,57.05,54.92,268.45,3.6
dingzhou,0,CN,1579757883,52,38.51,115.0,278.15,1.0
ngaoundere,65,CM,1579758175,28,7.32,13.58,287.26,2.41
ixtapa,40,MX,1579758176,83,20.7,-105.2,297.04,1.0
beringovskiy,37,RU,1579758176,94,63.05,179.32,250.14,2.79
grootfontein,88,NA,1579758178,56,-19.57,18.12,296.13,0.84
sosnovo-ozerskoye,0,RU,1579758178,81,52.52,111.54,251.67,4.76
saldanha,2,ZA,1579757905,72,-33.01,17.94,290.15,1.0
hovd,100,MN,1579758179,49,48.01,91.64,262.98,1.11
vaini,75,TO,1579758179,83,-21.2,-175.2,300.15,4.1
hays,90,US,1579758179,100,30.05,-98.03,287.15,2.6
moussoro,0,TD,1579758179,20,13.64,16.49,288.84,6.96
odweyne,2,SO,1579758180,31,9.41,45.06,294.76,1.15
castro,100,BR,1579758181,99,-24.79,-50.01,287.5,2.54
patos,99,BR,1579758181,78,-7.02,-37.28,298.19,3.79
hasaki,75,JP,1579758181,100,35.73,140.83,280.37,1.0
